sfxUp sfyUp sfxLow sfyLow time
-125.299 94635.4 19.6593 -94635.4 0.0126
-121.252 93975 18.2576 -93975 0.0127
-123.269 93311.5 19.2689 -93311.5 0.0128
-119.435 92646.3 17.9602 -92646.3 0.0129
-121.238 91978.2 18.8831 -91978.2 0.013
-117.611 91308.3 17.6626 -91308.3 0.0131
-119.21 90635.7 18.4994 -90635.7 0.0132
-115.778 89961.3 17.3643 -89961.3 0.0133
-117.185 89284.2 18.1185 -89284.2 0.0134
-113.937 88605.3 17.0652 -88605.3 0.0135
-115.161 87923.8 17.7406 -87923.8 0.0136
-112.093 87240.5 16.7645 -87240.5 0.0137
-113.145 86554.7 17.3655 -86554.7 0.0138
-110.239 85867.1 16.4623 -85867.1 0.0139
-111.132 85177 16.9926 -85177 0.014
-108.379 84485.2 16.1599 -84485.2 0.0141
-109.117 83791 16.6252 -83791 0.0142
-106.509 83095.1 15.8581 -83095.1 0.0143
-107.105 82396.7 16.2623 -82396.7 0.0144
-104.628 81696.7 15.5565 -81696.7 0.0145
-105.095 80994.4 15.9036 -80994.4 0.0146
-102.745 80290.4 15.2547 -80290.4 0.0147
-103.086 79584.2 15.5491 -79584.2 0.0148
-100.855 78876.2 14.9523 -78876.2 0.0149
-101.085 78166.2 15.1976 -78166.2 0.015
-98.9591 77454.4 14.6491 -77454.4 0.0151
-99.0832 76740.6 14.8484 -76740.6 0.0152
-97.0533 76025.1 14.3426 -76025.1 0.0153
-97.0824 75307.6 14.5029 -75307.6 0.0154
-95.1432 74588.4 14.0372 -74588.4 0.0155
-95.0831 73867.3 14.1601 -73867.3 0.0156
-93.2315 73144.5 13.7316 -73144.5 0.0157
-93.0916 72419.9 13.8206 -72419.9 0.0158
-91.313 71693.6 13.4244 -71693.6 0.0159
-91.0996 70965.5 13.4837 -70965.5 0.016
-89.3911 70235.8 13.1172 -70235.8 0.0161
-89.091 69499.8 13.1413 -69499.8 0.0162
-87.4325 68763.9 12.8296 -68763.9 0.0163
-87.0721 68027.4 12.8411 -68027.4 0.0164
-85.4726 67289.8 12.5501 -67289.8 0.0165
-85.0549 66551.5 12.5344 -66551.5 0.0166
-83.5134 65811.7 12.2589 -65811.7 0.0167
-83.0501 65070.7 12.2179 -65070.7 0.0168
-81.564 64328.2 11.9574 -64328.2 0.0169
-81.0593 63584.2 11.8966 -63584.2 0.017
-79.6222 62838.7 11.6503 -62838.7 0.0171
-79.0772 62091.7 11.5733 -62091.7 0.0172
-77.6837 61343.3 11.3408 -61343.3 0.0173
-77.1017 60593.4 11.2506 -60593.4 0.0174
-75.7436 59842.1 11.0312 -59842.1 0.0175
-75.1237 59089.3 10.9304 -59089.3 0.0176
-73.799 58335.1 10.7223 -58335.1 0.0177
-73.1459 57579.5 10.6128 -57579.5 0.0178
-71.8505 56822.7 10.4148 -56822.7 0.0179
-71.1667 56064.4 10.2986 -56064.4 0.018
-69.8977 55304.9 10.1089 -55304.9 0.0181
-69.1852 54544 9.98666 -54544 0.0182
-67.9414 53781.9 9.8039 -53781.9 0.0183
-67.2052 53018.5 9.67685 -53018.5 0.0184
-65.9841 52253.9 9.4999 -52253.9 0.0185
-65.2246 51488 9.3685 -51488 0.0186
-64.0251 50721 9.19627 -50721 0.0187
-63.2446 49952.8 9.06133 -49952.8 0.0188
-62.0635 49183.4 8.89308 -49183.4 0.0189
-61.2644 48412.9 8.75523 -48412.9 0.019
-60.1015 47641.3 8.59012 -47641.3 0.0191
-59.2854 46868.6 8.45083 -46868.6 0.0192
-58.1382 46094.8 8.28859 -46094.8 0.0193
-57.3051 45319.9 8.14762 -45319.9 0.0194
-56.1726 44544 7.98715 -44544 0.0195
-55.3254 43767.1 7.84525 -43767.1 0.0196
-54.2061 42989.2 7.68662 -42989.2 0.0197
-53.3471 42210.3 7.54495 -42210.3 0.0198
-52.2403 41430.4 7.38665 -41430.4 0.0199
-51.3674 40649.6 7.24401 -40649.6 0.02
-50.272 39867.8 7.08746 -39867.8 0.0201
-49.3888 39085.2 6.94533 -39085.2 0.0202
-48.3033 38301.6 6.78883 -38301.6 0.0203
-47.4087 37517.2 6.64636 -37517.2 0.0204
-46.3331 36732 6.49098 -36732 0.0205
-45.4282 35945.9 6.34906 -35945.9 0.0206
-44.3617 35159 6.19408 -35159 0.0207
-43.4482 34371.3 6.05281 -34371.3 0.0208
-42.3904 33582.8 5.89799 -33582.8 0.0209
-41.4702 32793.7 5.75763 -32793.7 0.021
-40.4213 32003.7 5.60208 -32003.7 0.0211
-39.4915 31213.1 5.46187 -31213.1 0.0212
-38.4495 30421.7 5.30658 -30421.7 0.0213
-37.5122 29629.7 5.16718 -29629.7 0.0214
-36.4751 28837 5.01146 -28837 0.0215
-35.5311 28043.7 4.87424 -28043.7 0.0216
-34.5017 27249.7 4.71847 -27249.7 0.0217
-33.5511 26455.2 4.58158 -26455.2 0.0218
-32.5268 25660.1 4.42494 -25660.1 0.0219
-31.5705 24864.4 4.2893 -24864.4 0.022
-30.5531 24068.1 4.13266 -24068.1 0.0221
-29.5913 23271.4 3.99784 -23271.4 0.0222
-28.5788 22474.2 3.84064 -22474.2 0.0223
-27.6112 21676.5 3.70692 -21676.5 0.0224
-26.6034 20878.2 3.54913 -20878.2 0.0225
-25.6311 20079.6 3.41659 -20079.6 0.0226
-24.6277 19280.5 3.25812 -19280.5 0.0227
-23.6507 18481.1 3.12691 -18481.1 0.0228
-22.6516 17681.2 2.96747 -17681.2 0.0229
-21.6699 16881 2.8375 -16881 0.023
-20.6753 16080.3 2.67748 -16080.3 0.0231
-19.69 15279.5 2.54891 -15279.5 0.0232
-18.6998 14478.2 2.38834 -14478.2 0.0233
-17.7103 13676.7 2.26053 -13676.7 0.0234
-16.7238 12874.8 2.09914 -12874.8 0.0235
-15.7302 12072.8 1.97232 -12072.8 0.0236
-14.747 11270.5 1.81027 -11270.5 0.0237
-13.7497 10468 1.68463 -10468 0.0238
-12.7703 9665.26 1.52178 -9665.26 0.0239
-11.7696 8862.43 1.3974 -8862.43 0.024
-10.7933 8059.33 1.23378 -8059.33 0.0241
-9.78929 7256.19 1.11043 -7256.19 0.0242
-8.8162 6452.83 0.946178 -6452.83 0.0243
-7.80895 5649.46 0.823863 -5649.46 0.0244
-6.83888 4845.91 0.658975 -4845.91 0.0245
-5.82859 4042.4 0.53773 -4042.4 0.0246
-4.86151 3238.74 0.372065 -3238.74 0.0247
-3.84823 2435.16 0.251872 -2435.16 0.0248
-2.88396 1631.46 0.0853441 -1631.46 0.0249
-1.86775 827.878 -0.0341579 -827.878 0.025
-0.905834 24.2249 -0.201363 -24.2249 0.0251
0.11322 -779.277 -0.319714 779.277 0.0252
1.07182 -1582.81 -0.487765 1582.81 0.0253
2.09313 -2386.16 -0.605073 2386.16 0.0254
3.04891 -3189.5 -0.774259 3189.5 0.0255
4.07291 -3992.62 -0.890834 3992.62 0.0256
5.02614 -4795.69 -1.06055 4795.69 0.0257
6.05261 -5598.5 -1.17613 5598.5 0.0258
7.0032 -6401.23 -1.34654 6401.23 0.0259
8.03243 -7203.65 -1.46143 7203.65 0.026
8.98047 -8005.96 -1.63256 8005.96 0.0261
10.0124 -8807.92 -1.74663 8807.92 0.0262
10.9583 -9609.73 -1.91861 9609.73 0.0263
