,Re_s,St,direction,stagPos,velChange,Amp,Nu,delta,Re_Paper,epsilon,Tvar,Msquared,Re_M
16,12.0,1.5,Vertical,0.2893671666666666,1.0,0.09999999999999999,0.052359877559829876,0.028867513459481284,18.000000000000004,0.6666666666666666,0.13936716666666663,27.000000000000007,27.000000000000007
17,13.0,0.5,Vertical,2.60587,1.0,0.3,0.4349897520355098,0.08320502943378437,6.5,2.0,2.45587,3.25,3.25
18,13.0,0.75,Vertical,0.7196348333333333,1.0,0.19999999999999998,0.19332877868244877,0.05547001962252291,9.749999999999998,1.3333333333333333,0.5696348333333333,7.312499999999999,7.3125
19,13.0,1.0,Vertical,0.42622299999999996,1.0,0.15,0.10874743800887746,0.041602514716892185,13.0,1.0,0.276223,13.0,13.0
20,13.0,1.25,Vertical,0.3096675,1.0,0.12,0.06959836032568158,0.033282011773513746,16.25,0.8,0.1596675,20.3125,20.3125
21,14.0,0.5,Vertical,1.353425,1.0,0.3,0.40391905546154483,0.08017837257372731,7.0,2.0,1.2034250000000002,3.5,3.5
22,14.0,0.5,Vertical,1.353425,1.0,0.3,0.40391905546154483,0.08017837257372731,7.0,2.0,1.2034250000000002,3.5,3.5
23,14.0,0.75,Vertical,0.4848008333333333,1.0,0.19999999999999998,0.179519580205131,0.05345224838248487,10.5,1.3333333333333333,0.3348008333333333,7.875,7.875000000000001
24,14.0,0.75,Vertical,0.4848008333333333,1.0,0.19999999999999998,0.179519580205131,0.05345224838248487,10.5,1.3333333333333333,0.3348008333333333,7.875,7.875000000000001
25,14.0,1.0,Vertical,0.363601,1.0,0.15,0.10097976386538621,0.04008918628686366,14.0,1.0,0.213601,14.0,14.0
26,14.0,1.0,Vertical,0.363601,1.0,0.15,0.10097976386538621,0.04008918628686366,14.0,1.0,0.213601,14.0,14.0
27,14.0,1.25,Vertical,0.27835599999999994,1.0,0.12,0.06462704887384717,0.03207134902949092,17.500000000000004,0.8,0.12835599999999994,21.875000000000004,21.875000000000004
28,14.0,1.25,Vertical,0.27835599999999994,1.0,0.12,0.06462704887384717,0.03207134902949092,17.500000000000004,0.8,0.12835599999999994,21.875000000000004,21.875000000000004
29,14.0,1.5,Vertical,0.22674466666666668,1.0,0.09999999999999999,0.04487989505128275,0.026726124191242435,21.0,0.6666666666666666,0.07674466666666668,31.5,31.500000000000004
30,14.0,1.5,Vertical,0.24240066666666668,1.0,0.09999999999999999,0.04487989505128275,0.026726124191242435,21.0,0.6666666666666666,0.09240066666666669,31.5,31.500000000000004
31,15.0,0.5,Vertical,0.852445,1.0,0.3,0.37699111843077515,0.07745966692414834,7.5,2.0,0.702445,3.75,3.75
32,15.0,0.75,Vertical,0.46914533333333325,1.0,0.19999999999999998,0.1675516081914556,0.05163977794943222,11.25,1.3333333333333333,0.3191453333333333,8.4375,8.437500000000002
33,15.0,1.0,Vertical,0.3009785,1.0,0.15,0.09424777960769379,0.03872983346207417,15.0,1.0,0.1509785,15.0,15.0
34,15.0,1.25,Vertical,0.2627004999999999,1.0,0.12,0.06031857894892403,0.030983866769659335,18.749999999999996,0.8,0.1127004999999999,23.437499999999993,23.4375
35,15.0,1.5,Vertical,0.22674466666666668,1.0,0.09999999999999999,0.0418879020478639,0.02581988897471611,22.5,0.6666666666666666,0.07674466666666668,33.75,33.75000000000001
36,18.0,0.25,Vertical,2.1902150000000002,1.0,0.6,1.2566370614359172,0.1414213562373095,4.5,4.0,2.0402150000000003,1.125,1.125
37,18.0,0.5,Vertical,0.3984344999999999,1.0,0.3,0.3141592653589793,0.07071067811865475,9.0,2.0,0.24843449999999992,4.5,4.5
38,18.0,0.75,Vertical,0.29693433333333336,1.0,0.19999999999999998,0.13962634015954634,0.04714045207910316,13.500000000000004,1.3333333333333333,0.14693433333333336,10.125000000000004,10.125000000000004
39,18.0,1.0,Vertical,0.23835599999999996,1.0,0.15,0.07853981633974483,0.035355339059327376,18.0,1.0,0.08835599999999996,18.0,18.0
40,18.0,1.25,Vertical,0.215734,1.0,0.12,0.05026548245743669,0.0282842712474619,22.499999999999996,0.8,0.06573400000000001,28.124999999999993,28.124999999999996
41,18.0,1.5,Vertical,0.19543366666666664,1.0,0.09999999999999999,0.034906585039886584,0.02357022603955158,27.000000000000007,0.6666666666666666,0.04543366666666665,40.500000000000014,40.500000000000014
42,22.0,0.25,Vertical,0.7029349999999999,1.0,0.6,1.028157595720296,0.12792042981336627,5.499999999999999,4.0,0.5529349999999998,1.3749999999999998,1.3749999999999998
43,22.0,0.5,Vertical,0.2888455,1.0,0.3,0.257039398930074,0.06396021490668313,10.999999999999998,2.0,0.13884549999999998,5.499999999999999,5.499999999999999
44,22.0,0.75,Vertical,0.21865633333333334,1.0,0.19999999999999998,0.11423973285781064,0.04264014327112208,16.5,1.3333333333333333,0.06865633333333335,12.375,12.375000000000002
45,22.0,1.0,Vertical,0.1913895,1.0,0.15,0.0642598497325185,0.031980107453341566,21.999999999999996,1.0,0.041389499999999996,21.999999999999996,21.999999999999996
46,22.0,1.25,Vertical,0.18442249999999996,1.0,0.12,0.041126303828811835,0.025584085962673253,27.499999999999993,0.8,0.03442249999999997,34.374999999999986,34.37499999999999
47,22.0,1.5,Vertical,0.17977816666666666,1.0,0.09999999999999999,0.02855993321445266,0.02132007163556104,33.0,0.6666666666666666,0.02977816666666666,49.5,49.50000000000001
48,26.0,0.25,Vertical,0.452445,1.0,0.6,0.8699795040710196,0.11766968108291043,6.499999999999999,4.0,0.30244499999999996,1.6249999999999998,1.6249999999999998
49,26.0,0.5,Vertical,0.21056750000000002,1.0,0.3,0.2174948760177549,0.05883484054145521,12.999999999999998,2.0,0.060567500000000024,6.499999999999999,6.499999999999999
50,26.0,0.75,Vertical,0.1716893333333333,1.0,0.19999999999999998,0.09666438934122439,0.0392232270276368,19.500000000000004,1.3333333333333333,0.02168933333333331,14.625000000000004,14.625000000000004
51,26.0,1.0,Vertical,0.160078,1.0,0.15,0.05437371900443873,0.029417420270727607,25.999999999999996,1.0,0.010078000000000004,25.999999999999996,25.999999999999996
52,26.0,1.25,Vertical,0.15311149999999998,1.0,0.12,0.03479918016284079,0.023533936216582084,32.49999999999999,0.8,0.0031114999999999893,40.624999999999986,40.62499999999999
53,26.0,1.5,Vertical,0.16412266666666667,1.0,0.09999999999999999,0.024166097335306096,0.0196116135138184,39.00000000000001,0.6666666666666666,0.014122666666666672,58.500000000000014,58.500000000000014
54,30.0,0.25,Vertical,0.20195450000000004,1.0,0.6,0.7539822368615503,0.10954451150103321,7.500000000000001,4.0,0.05195450000000004,1.8750000000000002,1.8750000000000002
55,30.0,0.5,Vertical,0.163601,1.0,0.3,0.18849555921538758,0.054772255750516606,15.000000000000002,2.0,0.013601000000000002,7.500000000000001,7.500000000000001
56,30.0,0.75,Vertical,0.15603383333333326,1.0,0.19999999999999998,0.0837758040957278,0.03651483716701107,22.499999999999996,1.3333333333333333,0.006033833333333266,16.875,16.875
57,30.0,1.0,Vertical,0.160078,1.0,0.15,0.047123889803846894,0.027386127875258303,30.000000000000004,1.0,0.010078000000000004,30.000000000000004,30.000000000000004
58,30.0,1.25,Vertical,0.15311149999999998,1.0,0.12,0.030159289474462014,0.021908902300206645,37.49999999999999,0.8,0.0031114999999999893,46.874999999999986,46.875
59,30.0,1.5,Vertical,0.14846716666666668,1.0,0.09999999999999999,0.02094395102393195,0.018257418583505537,44.99999999999999,0.6666666666666666,-0.0015328333333333166,67.5,67.5
60,34.0,0.5,Vertical,0.14794499999999988,1.0,0.3,0.1663196110724008,0.05144957554275265,16.999999999999996,2.0,-0.0020550000000001123,8.499999999999998,8.499999999999998
61,34.0,0.75,Vertical,0.12472283333333334,1.0,0.19999999999999998,0.07391982714328924,0.034299717028501764,25.500000000000004,1.3333333333333333,-0.025277166666666656,19.125000000000004,19.125000000000004
62,34.0,1.0,Vertical,0.14442249999999995,1.0,0.15,0.0415799027681002,0.025724787771376326,33.99999999999999,1.0,-0.005577500000000041,33.99999999999999,33.99999999999999
63,34.0,1.25,Vertical,0.137456,1.0,0.12,0.02661113777158413,0.02057983021710106,42.5,0.8,-0.012544,53.125,53.125
64,34.0,1.5,Vertical,0.14846716666666668,1.0,0.09999999999999999,0.01847995678582231,0.017149858514250882,51.00000000000001,0.6666666666666666,-0.0015328333333333166,76.50000000000001,76.50000000000001
65,38.0,0.5,Vertical,0.10097849999999997,1.0,0.3,0.14881228359109547,0.04866642633922876,18.999999999999996,2.0,-0.04902150000000002,9.499999999999998,9.499999999999998
66,38.0,0.75,Vertical,0.10906733333333335,1.0,0.19999999999999998,0.06613879270715353,0.03244428422615251,28.49999999999999,1.3333333333333333,-0.040932666666666645,21.374999999999993,21.374999999999996
67,38.0,1.0,Vertical,0.12876699999999996,1.0,0.15,0.03720307089777387,0.02433321316961438,37.99999999999999,1.0,-0.02123300000000003,37.99999999999999,37.99999999999999
68,38.0,1.25,Vertical,0.137456,1.0,0.12,0.023809965374575276,0.019466570535691504,47.5,0.8,-0.012544,59.375,59.37500000000001
69,38.0,1.5,Vertical,0.1328116666666667,1.0,0.09999999999999999,0.016534698176788383,0.016222142113076255,56.99999999999998,0.6666666666666666,-0.017188333333333305,85.49999999999997,85.49999999999999
70,42.0,0.5,Vertical,0.10097849999999997,1.0,0.3,0.13463968515384828,0.04629100498862757,20.999999999999996,2.0,-0.04902150000000002,10.499999999999998,10.499999999999998
71,42.0,0.75,Vertical,0.10906733333333335,1.0,0.19999999999999998,0.059839860068377,0.030860669992418377,31.500000000000007,1.3333333333333333,-0.040932666666666645,23.625000000000007,23.625000000000007
72,42.0,1.0,Vertical,0.11311149999999998,1.0,0.15,0.03365992128846207,0.023145502494313786,41.99999999999999,1.0,-0.03688850000000002,41.99999999999999,41.99999999999999
73,42.0,1.25,Vertical,0.1218005,1.0,0.12,0.021542349624615726,0.01851640199545103,52.5,0.8,-0.02819949999999999,65.625,65.625
74,42.0,1.5,Vertical,0.1328116666666667,1.0,0.09999999999999999,0.01495996501709425,0.015430334996209188,63.000000000000014,0.6666666666666666,-0.017188333333333305,94.50000000000003,94.50000000000003
75,46.0,0.5,Vertical,0.08532299999999998,1.0,0.3,0.12293188644481799,0.04423258684646914,22.999999999999996,2.0,-0.06467700000000001,11.499999999999998,11.499999999999998
76,46.0,0.75,Vertical,0.09341133333333335,1.0,0.19999999999999998,0.05463639397547465,0.029488391230979422,34.50000000000001,1.3333333333333333,-0.05658866666666665,25.875000000000007,25.875000000000007
77,46.0,1.0,Vertical,0.11311149999999998,1.0,0.15,0.030732971611204498,0.02211629342323457,45.99999999999999,1.0,-0.03688850000000002,45.99999999999999,45.99999999999999
78,46.0,1.25,Vertical,0.1218005,1.0,0.12,0.01966910183117088,0.017693034738587656,57.49999999999999,0.8,-0.02819949999999999,71.87499999999999,71.87499999999999
79,46.0,1.5,Vertical,0.1328116666666667,1.0,0.09999999999999999,0.013659098493868663,0.014744195615489711,69.00000000000001,0.6666666666666666,-0.017188333333333305,103.50000000000003,103.50000000000003
80,50.0,0.5,Vertical,0.0696675,1.0,0.3,0.11309733552923255,0.042426406871192854,24.999999999999996,2.0,-0.0803325,12.499999999999998,12.499999999999998
81,50.0,0.75,Vertical,0.09341133333333335,1.0,0.19999999999999998,0.05026548245743668,0.028284271247461898,37.5,1.3333333333333333,-0.05658866666666665,28.125,28.125000000000004
