,Re_s,St,direction,stagPos,velChange,Amp,Nu,delta,Re_Paper,epsilon,Tvar,Msquared,Re_M
28,15.0,1.25,Horizontal,0.4227004999999999,1.0,0.12,0.06031857894892403,0.030983866769659335,18.749999999999996,0.8,0.2727004999999999,23.437499999999993,23.4375
29,15.0,1.5,Horizontal,0.375734,1.0,0.09999999999999999,0.0418879020478639,0.02581988897471611,22.5,0.6666666666666666,0.22573400000000002,33.75,33.75000000000001
30,18.0,0.25,Horizontal,1.0019545,1.0,0.6,1.2566370614359172,0.1414213562373095,4.5,4.0,0.8519545000000001,1.125,1.125
31,18.0,0.5,Horizontal,0.6105675,1.0,0.3,0.3141592653589793,0.07071067811865475,9.0,2.0,0.4605675,4.5,4.5
32,18.0,0.75,Horizontal,0.485323,1.0,0.19999999999999998,0.13962634015954634,0.04714045207910316,13.500000000000004,1.3333333333333333,0.33532300000000004,10.125000000000004,10.125000000000004
33,18.0,1.0,Horizontal,0.4227004999999999,1.0,0.15,0.07853981633974483,0.035355339059327376,18.0,1.0,0.2727004999999999,18.0,18.0
34,18.0,1.25,Horizontal,0.375734,1.0,0.12,0.05026548245743669,0.0282842712474619,22.499999999999996,0.8,0.22573400000000002,28.124999999999993,28.124999999999996
35,18.0,1.5,Horizontal,0.34442249999999996,1.0,0.09999999999999999,0.034906585039886584,0.02357022603955158,27.000000000000007,0.6666666666666666,0.19442249999999997,40.500000000000014,40.500000000000014
36,22.0,0.25,Horizontal,0.6105675,1.0,0.6,1.028157595720296,0.12792042981336627,5.499999999999999,4.0,0.4605675,1.3749999999999998,1.3749999999999998
37,22.0,0.5,Horizontal,0.43835599999999997,1.0,0.3,0.257039398930074,0.06396021490668313,10.999999999999998,2.0,0.28835599999999995,5.499999999999999,5.499999999999999
38,22.0,0.75,Horizontal,0.3913895,1.0,0.19999999999999998,0.11423973285781064,0.04264014327112208,16.5,1.3333333333333333,0.2413895,12.375,12.375000000000002
