parThetaBW parHx parHy ThetaBW Hx Hy H Nosc State color color_r color_g color_b ColorString color_tuple
0.00000e+00 4.25000e+00 -6.50000e+00 5.40316e+00 3.98551e-01 -1.03193e+01 1.03270e+01 1.02000e+02 0.00000e+00 gray 5.01961e-01 5.01961e-01 5.01961e-01 rgb(0.5019607843137255,0.5019607843137255,0.5019607843137255) "(0.001968473663975394, 0.001968473663975394, 0.001968473663975394)"
0.00000e+00 4.25000e+00 -5.50000e+00 7.37131e-01 2.13714e+00 -9.94160e+00 1.01687e+01 8.40000e+01 0.00000e+00 gray 5.01961e-01 5.01961e-01 5.01961e-01 rgb(0.5019607843137255,0.5019607843137255,0.5019607843137255) "(0.001968473663975394, 0.001968473663975394, 0.001968473663975394)"
0.00000e+00 4.25000e+00 -4.50000e+00 6.02973e+00 2.49981e+00 -3.11976e-01 2.51920e+00 8.20000e+01 1.00000e+00 blue 1.17000e+02 1.12000e+02 1.79000e+02 rgb(117.0,112.0,179.0) "(0.4588235294117647, 0.4392156862745098, 0.7019607843137254)"
0.00000e+00 4.25000e+00 -3.50000e+00 5.90636e+00 2.58034e+00 -4.86824e-01 2.62586e+00 4.20000e+01 1.00000e+00 blue 1.17000e+02 1.12000e+02 1.79000e+02 rgb(117.0,112.0,179.0) "(0.4588235294117647, 0.4392156862745098, 0.7019607843137254)"
0.00000e+00 4.25000e+00 -2.50000e+00 6.08672e+00 2.56231e+00 -1.85457e-01 2.56901e+00 3.20000e+01 1.00000e+00 blue 1.17000e+02 1.12000e+02 1.79000e+02 rgb(117.0,112.0,179.0) "(0.4588235294117647, 0.4392156862745098, 0.7019607843137254)"
0.00000e+00 4.25000e+00 -1.50000e+00 5.90107e+00 2.59241e+00 -4.81369e-01 2.63672e+00 2.30000e+01 1.00000e+00 blue 1.17000e+02 1.12000e+02 1.79000e+02 rgb(117.0,112.0,179.0) "(0.4588235294117647, 0.4392156862745098, 0.7019607843137254)"
0.00000e+00 4.25000e+00 -5.00000e-01 5.81786e+00 2.57978e+00 -5.63471e-01 2.64060e+00 2.10000e+01 1.00000e+00 blue 1.17000e+02 1.12000e+02 1.79000e+02 rgb(117.0,112.0,179.0) "(0.4588235294117647, 0.4392156862745098, 0.7019607843137254)"
0.00000e+00 4.25000e+00 0.00000e+00 6.01845e+00 2.48594e+00 -3.25835e-01 2.50720e+00 2.30000e+01 1.00000e+00 blue 1.17000e+02 1.12000e+02 1.79000e+02 rgb(117.0,112.0,179.0) "(0.4588235294117647, 0.4392156862745098, 0.7019607843137254)"
0.00000e+00 4.25000e+00 5.00000e-01 6.01170e+00 2.52950e+00 -3.69578e-01 2.55636e+00 2.50000e+01 1.00000e+00 blue 1.17000e+02 1.12000e+02 1.79000e+02 rgb(117.0,112.0,179.0) "(0.4588235294117647, 0.4392156862745098, 0.7019607843137254)"
0.00000e+00 4.25000e+00 1.50000e+00 5.97561e+00 2.45467e+00 -4.06777e-01 2.48815e+00 2.60000e+01 1.00000e+00 blue 1.17000e+02 1.12000e+02 1.79000e+02 rgb(117.0,112.0,179.0) "(0.4588235294117647, 0.4392156862745098, 0.7019607843137254)"
0.00000e+00 4.25000e+00 2.50000e+00 6.06737e+00 2.53425e+00 -3.31139e-01 2.55579e+00 3.20000e+01 1.00000e+00 blue 1.17000e+02 1.12000e+02 1.79000e+02 rgb(117.0,112.0,179.0) "(0.4588235294117647, 0.4392156862745098, 0.7019607843137254)"
0.00000e+00 4.25000e+00 3.50000e+00 5.91943e+00 2.59444e+00 -4.82592e-01 2.63894e+00 4.20000e+01 1.00000e+00 blue 1.17000e+02 1.12000e+02 1.79000e+02 rgb(117.0,112.0,179.0) "(0.4588235294117647, 0.4392156862745098, 0.7019607843137254)"
0.00000e+00 4.25000e+00 4.50000e+00 5.90584e+00 2.59659e+00 -4.96333e-01 2.64361e+00 6.80000e+01 1.00000e+00 blue 1.17000e+02 1.12000e+02 1.79000e+02 rgb(117.0,112.0,179.0) "(0.4588235294117647, 0.4392156862745098, 0.7019607843137254)"
2.25000e+01 4.25000e+00 -6.50000e+00 3.29380e+00 2.44528e+00 -1.38111e+00 2.80835e+00 9.90000e+01 4.00000e+00 pink 2.31000e+02 4.10000e+01 1.38000e+02 rgb(231.0,41.0,138.0) "(0.9058823529411765, 0.1607843137254902, 0.5411764705882353)"
2.25000e+01 4.25000e+00 -5.50000e+00 3.27094e+00 2.48252e+00 -1.31352e+00 2.80860e+00 9.00000e+01 4.00000e+00 pink 2.31000e+02 4.10000e+01 1.38000e+02 rgb(231.0,41.0,138.0) "(0.9058823529411765, 0.1607843137254902, 0.5411764705882353)"
2.25000e+01 4.25000e+00 -4.50000e+00 6.25973e+00 -4.31944e+00 -9.27763e+00 1.02339e+01 1.23000e+02 0.00000e+00 gray 5.01961e-01 5.01961e-01 5.01961e-01 rgb(0.5019607843137255,0.5019607843137255,0.5019607843137255) "(0.001968473663975394, 0.001968473663975394, 0.001968473663975394)"
2.25000e+01 4.25000e+00 -3.50000e+00 1.57811e+00 6.02353e+00 -8.49373e+00 1.04128e+01 9.00000e+01 0.00000e+00 gray 5.01961e-01 5.01961e-01 5.01961e-01 rgb(0.5019607843137255,0.5019607843137255,0.5019607843137255) "(0.001968473663975394, 0.001968473663975394, 0.001968473663975394)"
