Hx Hy ThetaBW parHx parHy parThetaBW time H
1.8189021199614717 -8.265952890422671 5.974428226669559 4.25 -6.5 0.0 2.2 8.463709713162855
1.3260523091800793 -8.410070819328714 5.912547179217665 4.25 -6.5 0.0 2.3 8.51397121869731
0.8002168208274197 -8.510829799689972 5.853319819826802 4.25 -6.5 0.0 2.4 8.548366559736778
0.22856242765932924 -8.582339786090243 5.785201185371936 4.25 -6.5 0.0 2.5 8.5853827513539
-0.36336588715517143 -8.612967435529113 5.718506906373017 4.25 -6.5 0.0 2.6 8.620628910551307
-0.9774624534087638 -8.594389303911484 5.646040685521232 4.25 -6.5 0.0 2.7 8.649795393823602
-1.543683008917121 -8.535856616646385 5.58200637022895 4.25 -6.5 0.0 2.8 8.674318728981849
-2.0718884677562075 -8.448311597890088 5.517848843570685 4.25 -6.5 0.0 2.9 8.698660280633181
-2.5140024802401704 -8.33971593088758 5.463962192227636 4.25 -6.5 0.0 3.0 8.710400121610594
-2.8892869736916507 -8.231909486149661 5.4135068439159815 4.25 -6.5 0.0 3.1 8.724237101575417
-3.1906744995590266 -8.139951807857313 5.379373215809019 4.25 -6.5 0.0 3.2 8.742952544557005
-3.43192713360075 -8.04917644639333 5.3369829711440735 4.25 -6.5 0.0 3.3 8.750278013612952
-3.5805034464660586 -8.004048061993783 5.3213474202538675 4.25 -6.5 0.0 3.4 8.768397248577516
-3.677476692174484 -7.962525148385671 5.300245847494603 4.25 -6.5 0.0 3.5 8.770726398660537
-3.7382112960354283 -7.9491276206109305 5.300364598282245 4.25 -6.5 0.0 3.6 8.784238932461164
-3.7453940452903765 -7.949280960078722 5.287383261912953 4.25 -6.5 0.0 3.7 8.787436733016444
-3.722347864558058 -7.971803809205737 5.292709854717552 4.25 -6.5 0.0 3.8 8.7980412363916
-3.6762485564463177 -7.997929363731601 5.28636848018912 4.25 -6.5 0.0 3.9 8.802367724425844
-3.5924024628854947 -8.042137906518594 5.302858570195746 4.25 -6.5 0.0 4.0 8.80802688249809
-3.498837518617584 -8.103171189216354 5.317916714826813 4.25 -6.5 0.0 4.1 8.826281623845459
-3.3857054281309 -8.166719104252145 5.331382005904635 4.25 -6.5 0.0 4.2 8.84071841955347
-3.2436829120363875 -8.228947908824136 5.336378560276688 4.25 -6.5 0.0 4.3 8.845171706641876
-3.0875072017176084 -8.298917957595672 5.368564635733308 4.25 -6.5 0.0 4.4 8.854645107939787
-2.8978467765783957 -8.361935423328648 5.371342377592334 4.25 -6.5 0.0 4.5 8.849829374877475
-2.7116232452763223 -8.431614285658945 5.388769203051382 4.25 -6.5 0.0 4.6 8.856919333857055
-2.5029140082588097 -8.495493572800033 5.423013851874033 4.25 -6.5 0.0 4.7 8.856522431418828
-2.2930205742199554 -8.545012834805403 5.437535477375107 4.25 -6.5 0.0 4.8 8.847326584951247
-2.0813233065705194 -8.585268371269622 5.457476644422592 4.25 -6.5 0.0 4.9 8.833953798452661
-1.8881918081914637 -8.624629989474586 5.471110335651389 4.25 -6.5 0.0 5.0 8.828902013266754
-1.6919867749647415 -8.652838276441756 5.496648080857219 4.25 -6.5 0.0 5.1 8.816713077156992
-1.5382564184153262 -8.675643946038926 5.5026553400038525 4.25 -6.5 0.0 5.2 8.810960826563571
-1.389690279210792 -8.691409150241926 5.5115910616433474 4.25 -6.5 0.0 5.3 8.801808455598318
-1.2545753843008602 -8.707094161135311 5.524630260075154 4.25 -6.5 0.0 5.4 8.7970135913144
-1.1378122563883708 -8.718909477040771 5.536017287543146 4.25 -6.5 0.0 5.5 8.792837949127629
-1.0306071109133395 -8.723004820874506 5.539833689587545 4.25 -6.5 0.0 5.6 8.783676002794332
-0.9460997934904519 -8.737975297883862 5.54973366768473 4.25 -6.5 0.0 5.7 8.789045290910227
-0.8953409913933156 -8.74227883924986 5.542256026908664 4.25 -6.5 0.0 5.8 8.788007441625492
-0.8579582661869611 -8.759670950638641 5.548944427705913 4.25 -6.5 0.0 5.9 8.801586649575235
-0.8527450101598533 -8.768192935512566 5.53871123959437 4.25 -6.5 0.0 6.0 8.80956193046652
-0.8538369356084224 -8.769522906769549 5.5334143595199174 4.25 -6.5 0.0 6.1 8.810991404204467
-0.869231027374357 -8.774741504611388 5.52300683154557 4.25 -6.5 0.0 6.2 8.817689666329837
-0.9056127230128493 -8.782876354807819 5.508786463482187 4.25 -6.5 0.0 6.3 8.829442307865488
-0.9418083787881603 -8.794092833108737 5.507200803136826 4.25 -6.5 0.0 6.4 8.844380802503363
-0.9959469332124666 -8.800834769174724 5.49259171072608 4.25 -6.5 0.0 6.5 8.857008689624847
-1.045796698661615 -8.811840738863161 5.4714937096866505 4.25 -6.5 0.0 6.6 8.873681757986365
-1.0738675422236756 -8.833718830622779 5.481572629797827 4.25 -6.5 0.0 6.7 8.898751590910997
-1.1415126518150671 -8.843726650294329 5.444296695245745 4.25 -6.5 0.0 6.8 8.917093259542597
-1.1889837660551688 -8.869428880280974 5.44057244882907 4.25 -6.5 0.0 6.9 8.948768130771127
-1.267311933651641 -8.900486071830242 5.440310965003966 4.25 -6.5 0.0 7.0 8.99025760765619
-1.305846802111091 -8.899417541153369 5.425899543410155 4.25 -6.5 0.0 7.1 8.994713360767648
-1.365661553266889 -8.918535039880634 5.412893407783852 4.25 -6.5 0.0 7.2 9.022488500167235
-1.4228254238358586 -8.938241499295952 5.397247977831186 4.25 -6.5 0.0 7.3 9.050778601117697
-1.445720324135899 -8.948918579181306 5.38581370904678 4.25 -6.5 0.0 7.4 9.064946276312726
-1.474857679379049 -8.963744500104946 5.377931408655306 4.25 -6.5 0.0 7.5 9.084267754617596
-1.506091877337146 -8.983203477716403 5.361034709940991 4.25 -6.5 0.0 7.6 9.108581528703413
-1.5065211895808903 -9.018410645101541 5.3704176398201815 4.25 -6.5 0.0 7.7 9.1433766551716
-1.4937383824622539 -9.049316872074272 5.3584209155167795 4.25 -6.5 0.0 7.8 9.171771377790064
-1.484881991390587 -9.08588841168963 5.348048265266015 4.25 -6.5 0.0 7.9 9.206423994039813
-1.445663234017307 -9.12290270949453 5.342925342192423 4.25 -6.5 0.0 8.0 9.236736221907174
-1.420391485819598 -9.165046926277967 5.331128682900681 4.25 -6.5 0.0 8.1 9.274459398469865
-1.368487570142339 -9.21278045613673 5.342451673438596 4.25 -6.5 0.0 8.2 9.3138650388874
-1.322050210707754 -9.241032456745977 5.3362275731095625 4.25 -6.5 0.0 8.3 9.335121725305193
-1.2684495290159548 -9.276158310246716 5.328040954025177 4.25 -6.5 0.0 8.4 9.362482427455873
-1.21608557007925 -9.32113878426188 5.3473667707161425 4.25 -6.5 0.0 8.5 9.400132570832499
-1.1682238685885356 -9.374002456666899 5.341264942001783 4.25 -6.5 0.0 8.6 9.446516239584676
-1.1172883020474322 -9.430635140622979 5.325170667117356 4.25 -6.5 0.0 8.7 9.496589509157749
-1.0327331584110586 -9.492216023928679 5.336597914325569 4.25 -6.5 0.0 8.8 9.548230350248682
-0.967947978928808 -9.535911713146081 5.3165700029608 4.25 -6.5 0.0 8.9 9.58491186661771
-0.9015774846371799 -9.590575708817761 5.319385830040891 4.25 -6.5 0.0 9.0 9.632859616301381
-0.8400292922939017 -9.64701846649348 5.333616934347044 4.25 -6.5 0.0 9.1 9.683522835454976
-0.7635686402004846 -9.689083949748314 5.321126563144606 4.25 -6.5 0.0 9.2 9.719124695854457
-0.6695014253872891 -9.75136365876165 5.3504165498349 4.25 -6.5 0.0 9.3 9.77431968804034
-0.5957145374841785 -9.815057427831281 5.34827073833346 4.25 -6.5 0.0 9.4 9.833118941708983
-0.5044148968370776 -9.891208649301147 5.336288122426982 4.25 -6.5 0.0 9.5 9.904061941050298
-0.39649707997487044 -9.96050803238828 5.348416512794958 4.25 -6.5 0.0 9.6 9.96839657104893
-0.2948505809400185 -10.015570733979985 5.331251132033704 4.25 -6.5 0.0 9.7 10.019909879456852
-0.16501637170728173 -10.073600658266217 5.338916176293866 4.25 -6.5 0.0 9.8 10.074952140092428
-0.04287210015964382 -10.133307585743802 5.361126210981477 4.25 -6.5 0.0 9.9 10.133398277195315
0.10174676064838173 -10.185343023856712 5.355111704067995 4.25 -6.5 0.0 10.0 10.185851212192775
0.25017203939268345 -10.253536991111218 5.387191177760555 4.25 -6.5 0.0 10.1 10.256588461929239
0.3985506696428881 -10.319277924147611 5.403163008482601 4.25 -6.5 0.0 10.2 10.326971458858257
0.5539695954698892 -10.389238870068006 5.405436446079516 4.25 -6.5 0.0 10.3 10.40399762649132
0.7297704059305385 -10.454738022319928 5.399551615588323 4.25 -6.5 0.0 10.4 10.480177095865987
0.9386400816994468 -10.517872819003244 5.408854887220066 4.25 -6.5 0.0 10.5 10.559672998710708
1.1419322111077832 -10.565829058077956 5.410067156939167 4.25 -6.5 0.0 10.6 10.627358696274912
