Rlarge Rsmall Nu ampFrac rsl amp vel
2.25000e-01 1.50000e-01 7.55000e-01 7.00000e-01 9.68648e-01 2.20348e-01 -1.02613e-01
2.25000e-01 1.50000e-01 1.01000e+00 7.00000e-01 9.66965e-01 2.20971e-01 -1.03114e-01
2.25000e-01 1.50000e-01 1.35000e+00 7.00000e-01 9.64811e-01 2.21633e-01 -1.00728e-01
2.25000e-01 1.50000e-01 1.81000e+00 7.00000e-01 9.61969e-01 2.22312e-01 -9.58979e-02
2.25000e-01 2.00000e-01 5.00000e-03 7.00000e-01 9.75527e-01 2.23606e-01 3.56549e-01
2.25000e-01 2.00000e-01 1.00000e-02 7.00000e-01 9.75264e-01 2.23789e-01 2.60349e-01
2.25000e-01 2.00000e-01 1.50000e-02 7.00000e-01 9.75051e-01 2.23956e-01 1.55590e-01
2.25000e-01 2.00000e-01 2.00000e-02 7.00000e-01 9.74847e-01 2.24113e-01 9.39575e-02
2.25000e-01 2.00000e-01 2.50000e-02 7.00000e-01 9.74673e-01 2.24251e-01 4.97542e-02
2.25000e-01 2.00000e-01 3.00000e-02 7.00000e-01 9.74516e-01 2.24392e-01 2.38420e-02
2.25000e-01 2.00000e-01 4.00000e-02 7.00000e-01 9.74223e-01 2.24651e-01 1.50348e-02
2.25000e-01 2.00000e-01 5.00000e-02 7.00000e-01 9.73953e-01 2.24867e-01 7.96604e-03
2.25000e-01 2.00000e-01 7.50000e-02 7.00000e-01 9.73333e-01 2.25355e-01 -1.14579e-02
2.25000e-01 2.00000e-01 1.00000e-01 7.00000e-01 9.72765e-01 2.25768e-01 -1.77993e-02
2.25000e-01 2.00000e-01 1.30000e-01 7.00000e-01 9.72129e-01 2.26207e-01 -2.23026e-02
2.25000e-01 2.00000e-01 1.75000e-01 7.00000e-01 9.71251e-01 2.26776e-01 -2.58695e-02
2.25000e-01 2.00000e-01 2.35000e-01 7.00000e-01 9.70176e-01 2.27422e-01 -2.98873e-02
2.25000e-01 2.00000e-01 3.15000e-01 7.00000e-01 9.68849e-01 2.28143e-01 -3.49070e-02
2.25000e-01 2.00000e-01 4.20000e-01 7.00000e-01 9.67215e-01 2.28919e-01 -3.97746e-02
2.25000e-01 2.00000e-01 5.60000e-01 7.00000e-01 9.69171e-01 2.22878e-01 -4.18885e-02
2.25000e-01 2.00000e-01 7.55000e-01 7.00000e-01 9.67570e-01 2.23547e-01 -4.41224e-02
2.25000e-01 2.00000e-01 1.01000e+00 7.00000e-01 9.65559e-01 2.24240e-01 -4.47701e-02
2.25000e-01 2.00000e-01 1.35000e+00 7.00000e-01 9.62927e-01 2.24945e-01 -4.39861e-02
2.25000e-01 2.00000e-01 1.81000e+00 7.00000e-01 9.59375e-01 2.25631e-01 -4.19286e-02
2.25000e-01 1.20000e-01 5.00000e-03 7.00000e-01 9.75017e-01 2.17316e-01 1.08561e+00
2.25000e-01 1.20000e-01 1.00000e-02 7.00000e-01 9.75057e-01 2.17388e-01 8.84767e-01
2.25000e-01 1.20000e-01 1.50000e-02 7.00000e-01 9.74889e-01 2.17493e-01 7.95820e-01
2.25000e-01 1.20000e-01 2.00000e-02 7.00000e-01 9.74733e-01 2.17612e-01 6.75590e-01
2.25000e-01 1.20000e-01 2.50000e-02 7.00000e-01 9.74585e-01 2.17712e-01 5.52064e-01
2.25000e-01 1.20000e-01 3.00000e-02 7.00000e-01 9.74440e-01 2.17805e-01 4.49755e-01
2.25000e-01 1.20000e-01 4.00000e-02 7.00000e-01 9.74174e-01 2.17982e-01 2.65326e-01
2.25000e-01 1.20000e-01 5.00000e-02 7.00000e-01 9.73932e-01 2.18142e-01 1.36561e-01
2.25000e-01 1.20000e-01 7.50000e-02 7.00000e-01 9.73223e-01 2.24432e-01 -6.81264e-03
2.25000e-01 1.20000e-01 1.00000e-01 7.00000e-01 9.72938e-01 2.18785e-01 -3.52110e-02
2.25000e-01 1.20000e-01 1.30000e-01 7.00000e-01 9.72441e-01 2.19106e-01 -5.90002e-02
2.25000e-01 1.20000e-01 1.75000e-01 7.00000e-01 9.71769e-01 2.19523e-01 -7.79052e-02
2.25000e-01 1.20000e-01 2.35000e-01 7.00000e-01 9.70962e-01 2.20019e-01 -9.44181e-02
2.25000e-01 1.20000e-01 3.15000e-01 7.00000e-01 9.69984e-01 2.20592e-01 -1.08869e-01
2.25000e-01 1.20000e-01 4.20000e-01 7.00000e-01 9.68811e-01 2.21212e-01 -1.18995e-01
2.25000e-01 1.20000e-01 5.60000e-01 7.00000e-01 9.70556e-01 2.17839e-01 -1.21707e-01
2.25000e-01 1.20000e-01 7.55000e-01 7.00000e-01 9.69349e-01 2.18372e-01 -1.25508e-01
2.25000e-01 1.20000e-01 1.01000e+00 7.00000e-01 9.67858e-01 2.18945e-01 -1.26197e-01
2.25000e-01 1.20000e-01 1.35000e+00 7.00000e-01 9.65957e-01 2.19558e-01 -1.22767e-01
2.25000e-01 1.20000e-01 1.81000e+00 7.00000e-01 9.63468e-01 2.20197e-01 -1.16306e-01
3.75000e-01 1.50000e-01 5.00000e-03 7.00000e-01 9.26969e-01 2.23073e-01 1.12774e+00
3.75000e-01 1.50000e-01 1.00000e-02 7.00000e-01 9.74025e-01 2.22429e-01 1.09938e+00
3.75000e-01 1.50000e-01 1.50000e-02 7.00000e-01 9.73916e-01 2.22609e-01 9.41235e-01
3.75000e-01 1.50000e-01 2.00000e-02 7.00000e-01 9.73738e-01 2.22825e-01 8.41758e-01
3.75000e-01 1.50000e-01 2.50000e-02 7.00000e-01 9.73543e-01 2.23006e-01 7.41906e-01
3.75000e-01 1.50000e-01 3.00000e-02 7.00000e-01 9.73352e-01 2.23183e-01 6.43581e-01
3.75000e-01 1.50000e-01 4.00000e-02 7.00000e-01 9.73002e-01 2.23510e-01 4.61283e-01
3.75000e-01 1.50000e-01 5.00000e-02 7.00000e-01 9.72625e-01 2.23898e-01 3.20641e-01
3.75000e-01 1.50000e-01 7.50000e-02 7.00000e-01 9.71943e-01 2.24467e-01 6.24117e-02
3.75000e-01 1.50000e-01 1.00000e-01 7.00000e-01 9.71325e-01 2.24938e-01 -1.70565e-02
3.75000e-01 1.50000e-01 1.30000e-01 7.00000e-01 9.70638e-01 2.25415e-01 -5.44733e-02
3.75000e-01 1.50000e-01 1.75000e-01 7.00000e-01 9.69680e-01 2.26029e-01 -8.65242e-02
3.75000e-01 1.50000e-01 2.35000e-01 7.00000e-01 9.68488e-01 2.26711e-01 -1.24672e-01
3.75000e-01 1.50000e-01 3.15000e-01 7.00000e-01 9.66984e-01 2.27448e-01 -1.69982e-01
3.75000e-01 1.50000e-01 4.20000e-01 7.00000e-01 9.65083e-01 2.28222e-01 -2.23884e-01
3.75000e-01 1.50000e-01 5.60000e-01 7.00000e-01 9.67685e-01 2.22467e-01 -2.63991e-01
3.75000e-01 1.50000e-01 7.55000e-01 7.00000e-01 9.65858e-01 2.23111e-01 -2.82601e-01
3.75000e-01 1.50000e-01 1.01000e+00 7.00000e-01 9.63496e-01 2.23744e-01 -2.93394e-01
3.75000e-01 1.50000e-01 1.35000e+00 7.00000e-01 9.60306e-01 2.24335e-01 -2.97441e-01
3.75000e-01 1.50000e-01 1.81000e+00 7.00000e-01 9.55869e-01 2.24820e-01 -2.88575e-01
3.75000e-01 2.00000e-01 5.00000e-03 7.00000e-01 9.75513e-01 2.30654e-01 1.22682e+00
3.75000e-01 2.00000e-01 1.00000e-02 7.00000e-01 9.75593e-01 2.30678e-01 8.79975e-01
3.75000e-01 2.00000e-01 1.50000e-02 7.00000e-01 9.75395e-01 2.31086e-01 7.43930e-01
3.75000e-01 2.00000e-01 2.00000e-02 7.00000e-01 9.75198e-01 2.31405e-01 6.48199e-01
3.75000e-01 2.00000e-01 2.50000e-02 7.00000e-01 9.74997e-01 2.31690e-01 5.65402e-01
3.75000e-01 2.00000e-01 3.00000e-02 7.00000e-01 9.74808e-01 2.31928e-01 4.93296e-01
3.75000e-01 2.00000e-01 4.00000e-02 7.00000e-01 9.74472e-01 2.32311e-01 3.59014e-01
3.75000e-01 2.00000e-01 5.00000e-02 7.00000e-01 9.74156e-01 2.32642e-01 2.37581e-01
3.75000e-01 2.00000e-01 7.50000e-02 7.00000e-01 9.73412e-01 2.33270e-01 5.29787e-02
3.75000e-01 2.00000e-01 1.00000e-01 7.00000e-01 9.72701e-01 2.33722e-01 -1.53516e-02
3.75000e-01 2.00000e-01 1.30000e-01 7.00000e-01 9.71844e-01 2.34101e-01 -5.16562e-02
3.75000e-01 2.00000e-01 1.75000e-01 7.00000e-01 9.70512e-01 2.34459e-01 -8.91885e-02
3.75000e-01 2.00000e-01 2.35000e-01 7.00000e-01 9.68633e-01 2.34738e-01 -1.27609e-01
3.75000e-01 2.00000e-01 3.15000e-01 7.00000e-01 9.65972e-01 2.34971e-01 -1.73475e-01
3.75000e-01 2.00000e-01 4.20000e-01 7.00000e-01 9.62354e-01 2.35259e-01 -2.34155e-01
3.75000e-01 2.00000e-01 5.60000e-01 7.00000e-01 9.66781e-01 2.28077e-01 -2.73895e-01
3.75000e-01 2.00000e-01 7.55000e-01 7.00000e-01 9.63980e-01 2.28536e-01 -2.97873e-01
3.75000e-01 2.00000e-01 1.01000e+00 7.00000e-01 9.60148e-01 2.28836e-01 -3.07799e-01
3.75000e-01 2.00000e-01 1.35000e+00 7.00000e-01 9.54746e-01 2.28979e-01 -3.12440e-01
3.75000e-01 2.00000e-01 1.81000e+00 7.00000e-01 9.47171e-01 2.29004e-01 -3.02650e-01
3.75000e-01 2.25000e-01 5.00000e-03 7.00000e-01 9.78467e-01 2.37514e-01 1.01363e+00
3.75000e-01 2.25000e-01 1.00000e-02 7.00000e-01 9.78911e-01 2.37883e-01 7.41485e-01
3.75000e-01 2.25000e-01 1.50000e-02 7.00000e-01 9.79228e-01 2.38345e-01 5.78033e-01
3.75000e-01 2.25000e-01 2.00000e-02 7.00000e-01 9.79370e-01 2.38471e-01 5.07416e-01
3.75000e-01 2.25000e-01 2.50000e-02 7.00000e-01 9.79419e-01 2.38449e-01 4.41670e-01
3.75000e-01 2.25000e-01 3.00000e-02 7.00000e-01 9.79391e-01 2.38368e-01 3.69518e-01
3.75000e-01 2.25000e-01 4.00000e-02 7.00000e-01 9.79231e-01 2.38167e-01 2.41022e-01
3.75000e-01 2.25000e-01 5.00000e-02 7.00000e-01 9.78853e-01 2.37873e-01 1.46718e-01
3.75000e-01 2.25000e-01 7.50000e-02 7.00000e-01 9.77434e-01 2.37114e-01 2.16520e-02
3.75000e-01 2.25000e-01 1.00000e-01 7.00000e-01 9.75700e-01 2.36536e-01 -2.20680e-02
3.75000e-01 2.25000e-01 1.30000e-01 7.00000e-01 9.73616e-01 2.36144e-01 -5.16094e-02
3.75000e-01 2.25000e-01 1.75000e-01 7.00000e-01 9.70671e-01 2.35960e-01 -8.45581e-02
3.75000e-01 2.25000e-01 2.35000e-01 7.00000e-01 9.67134e-01 2.36119e-01 -1.18198e-01
3.75000e-01 2.25000e-01 3.15000e-01 7.00000e-01 9.62884e-01 2.36656e-01 -1.59880e-01
3.75000e-01 2.25000e-01 4.20000e-01 7.00000e-01 9.57772e-01 2.37517e-01 -2.15313e-01
3.75000e-01 2.25000e-01 5.60000e-01 7.00000e-01 9.66047e-01 2.30436e-01 -2.60392e-01
3.75000e-01 2.25000e-01 7.55000e-01 7.00000e-01 9.62158e-01 2.30454e-01 -2.97253e-01
3.75000e-01 2.25000e-01 1.01000e+00 7.00000e-01 9.56739e-01 2.30302e-01 -3.08674e-01
3.75000e-01 2.25000e-01 1.35000e+00 7.00000e-01 9.49242e-01 2.30151e-01 -3.08986e-01
3.75000e-01 2.25000e-01 1.81000e+00 7.00000e-01 9.39171e-01 2.30185e-01 -2.99012e-01
3.75000e-01 1.20000e-01 5.00000e-03 7.00000e-01 9.25898e-01 2.18938e-01 1.17890e+00
3.75000e-01 1.20000e-01 1.00000e-02 7.00000e-01 9.73348e-01 2.18673e-01 1.03595e+00
3.75000e-01 1.20000e-01 1.50000e-02 7.00000e-01 9.73452e-01 2.18999e-01 1.10565e+00
3.75000e-01 1.20000e-01 2.00000e-02 7.00000e-01 9.73446e-01 2.19122e-01 9.65470e-01
3.75000e-01 1.20000e-01 2.50000e-02 7.00000e-01 9.73393e-01 2.19230e-01 8.40179e-01
3.75000e-01 1.20000e-01 3.00000e-02 7.00000e-01 9.73293e-01 2.19336e-01 7.30124e-01
3.75000e-01 1.20000e-01 4.00000e-02 7.00000e-01 9.73057e-01 2.19548e-01 5.19030e-01
3.75000e-01 1.20000e-01 5.00000e-02 7.00000e-01 9.72803e-01 2.19755e-01 3.52539e-01
3.75000e-01 1.20000e-01 7.50000e-02 7.00000e-01 9.72168e-01 2.20214e-01 7.82221e-02
3.75000e-01 1.20000e-01 1.00000e-01 7.00000e-01 9.71808e-01 2.20592e-01 -9.29270e-03
3.75000e-01 1.20000e-01 1.30000e-01 7.00000e-01 9.70943e-01 2.21003e-01 -4.84690e-02
3.75000e-01 1.20000e-01 1.75000e-01 7.00000e-01 9.70079e-01 2.21526e-01 -8.10582e-02
3.75000e-01 1.20000e-01 2.35000e-01 7.00000e-01 9.69037e-01 2.22132e-01 -1.15447e-01
3.75000e-01 1.20000e-01 3.15000e-01 7.00000e-01 9.67769e-01 2.22823e-01 -1.57260e-01
3.75000e-01 1.20000e-01 4.20000e-01 7.00000e-01 9.66240e-01 2.23551e-01 -2.00576e-01
3.75000e-01 1.20000e-01 5.60000e-01 7.00000e-01 9.68604e-01 2.19442e-01 -2.35017e-01
3.75000e-01 1.20000e-01 7.55000e-01 7.00000e-01 9.67028e-01 2.20032e-01 -2.66364e-01
3.75000e-01 1.20000e-01 1.01000e+00 7.00000e-01 9.65063e-01 2.20636e-01 -2.75346e-01
3.75000e-01 1.20000e-01 1.35000e+00 7.00000e-01 9.62507e-01 2.21252e-01 -2.74870e-01
3.75000e-01 1.20000e-01 1.81000e+00 7.00000e-01 9.59065e-01 2.21826e-01 -2.66676e-01
7.50000e-01 2.00000e-01 5.00000e-03 6.00000e-01 1.21657e+00 2.04946e-01 3.16154e-01
