Re,amp,err,rsl,t_ss,v_ss,v_swim
90.47786842338604,0.24,0.009071252484720967,1.8,5.2,0.8792279999999975,
45.23893421169302,0.12,0.009392890199210321,1.8,3.9001,0.009422400000000317,
67.85840131753952,0.18,0.00850502825630754,1.8,6.7,0.2509099999999995,
79.1681348704628,0.21,0.009440140029984096,1.8,5.7,0.5055808600000009,
56.548667764616276,0.15,0.00934385382059282,1.8,6.7,0.07777599999999962,
3.231352443692358,0.24,0.005414874980089018,1.8,1.4001,-0.09992000000000001,
1.615676221846179,0.12,0.00720874350827991,1.8,1.2001,-0.031185600000000403,
2.423514332769268,0.18,0.008540670468207067,1.8,1.2001,-0.0631056000000001,
2.827433388230814,0.21,0.00409832131990305,1.8,1.4001,-0.08300960000000024,
2.019595277307724,0.15,0.007514230181874326,1.8,1.2001,-0.04644560000000026,
13.919672065136314,0.24,0.006521088842380871,1.8,1.2001,-0.026569599999999693,
6.959836032568157,0.12,0.007247956403257683,1.8,1.4001,-0.014573599999999964,
10.439754048852233,0.18,0.002098702620208114,1.8,1.6,-0.02521120000000016,
12.179713056994276,0.21,0.00968042196710591,1.8,1.2001,-0.026033599999999935,
8.699795040710196,0.15,0.0068767908309462725,1.8,1.4001,-0.019409599999999944,
7.700244121139238,0.24,0.0010243242874110052,1.8,1.4001,-0.05851519999999988,
3.850122060569619,0.12,0.001884095634097073,1.8,1.4001,-0.02458079999999979,
5.775183090854427,0.18,0.00019469026548142872,1.8,1.4001,-0.045191200000000264,
6.737713605996833,0.21,0.001650982334489795,1.8,1.4001,-0.05338959999999993,
4.812652575712024,0.15,0.002203393680552771,1.8,1.4001,-0.03529599999999955,
60.31857894892403,0.24,0.007976531721329429,1.8,5.2,0.5890760000000012,
30.159289474462014,0.12,0.004795173070483121,1.8,2.5,0.002507120000000559,
45.238934211693014,0.18,0.009345497313971553,1.8,6.2,0.12701200000000012,
52.77875658030853,0.21,0.009818215950688942,1.8,5.9,0.3227479999999991,
37.69911184307752,0.15,0.0012551610239488118,1.8,4.2,0.024250400000000064,
0.9997554521921109,0.24,0.009819398380814007,1.8,1.1,-0.11156000000000012,
0.49987772609605546,0.12,0.008725066444735677,1.8,1.1,-0.0300591999999999,
0.749816589144083,0.18,0.009666547326572473,1.8,1.1,-0.06542719999999991,
0.8747860206680971,0.21,0.009513693252666619,1.8,1.1,-0.08743599999999975,
