Re,amp,err,rsl,t_ss,v_ss,v_swim
90.47786842338604,0.24,0.009855139300224199,1.0,3.7,0.8408680000000007,
45.23893421169302,0.12,0.008334578730158413,1.0,4.2,0.03508480000000003,
67.85840131753952,0.18,0.009668402624536675,1.0,4.9,0.3431560000000011,
79.1681348704628,0.21,0.00789655823318164,1.0,4.7,0.6407399999999992,
56.548667764616276,0.15,0.009042244437266096,1.0,6.4,0.1564519999999992,
3.231352443692358,0.24,0.0015603500858182605,1.0,1.1,-0.2824279999999999,
1.615676221846179,0.12,0.006740749349613899,1.0,1.1,-0.09008879999999997,
2.423514332769268,0.18,0.0038468282845970157,1.0,1.1,-0.18318999999999952,
2.827433388230814,0.21,0.0029689631797078456,1.0,1.1,-0.23377000000000006,
2.019595277307724,0.15,0.005442583732055633,1.0,1.1,-0.13448799999999986,
13.919672065136314,0.24,0.0015471622663765945,1.0,1.1,-0.08415479999999986,
6.959836032568157,0.12,0.005442573187279337,1.0,1.4001,-0.052465200000000045,
10.439754048852233,0.18,0.006588463748587981,1.0,1.1,-0.0812792,
12.179713056994276,0.21,0.0037345474712425744,1.0,1.1,-0.08976920000000012,
8.699795040710196,0.15,0.00897858221646447,1.0,1.1,-0.06787520000000019,
7.700244121139238,0.24,0.0024914117634144244,1.0,1.1,-0.18267999999999995,
3.850122060569619,0.12,0.007457440792360054,1.0,1.2001,-0.07624720000000007,
5.775183090854427,0.18,0.006298873663819711,1.0,1.1,-0.14026799999999984,
6.737713605996833,0.21,0.004989709472072019,1.0,1.1,-0.16797800000000018,
4.812652575712024,0.15,0.008910975923230492,1.0,1.1,-0.10833000000000004,
60.31857894892403,0.24,0.009347884843009273,1.0,4.3,0.6498000000000004,
30.159289474462014,0.12,0.005990389046134926,1.0,4.0,0.01833839999999992,
45.238934211693014,0.18,0.009971639937652594,1.0,5.7,0.21032719999999988,
52.77875658030853,0.21,0.00915285876295394,1.0,4.7,0.40221199999999835,
37.69911184307752,0.15,0.008504327825187712,1.0,4.9,0.06664599999999998,
0.9997554521921109,0.24,0.003390004622730048,1.0,1.1,-0.27348999999999957,
0.49987772609605546,0.12,0.002855798063345789,1.0,1.1,-0.07585160000000002,
0.749816589144083,0.18,0.0028447757899772103,1.0,1.1,-0.16357,
0.8747860206680971,0.21,0.0033177331912336637,1.0,1.1,-0.216526,
0.6248471576200694,0.15,0.0027768674864985087,1.0,1.1,-0.11627999999999973,
45.23893421169302,0.24,0.00847805652646361,1.0,4.7,0.44202400000000097,
22.61946710584651,0.12,0.004660201875951838,1.0,3.7,0.004052959999999872,
33.92920065876976,0.18,0.0014562878752345308,1.0,4.4,0.08527200000000025,
39.5840674352314,0.21,0.008465328085514664,1.0,5.7,0.25653219999999977,
28.274333882308138,0.15,0.0077899412978004335,1.0,3.2,0.025015599999999808,
361.91147369354417,0.24,0.007765321159236975,1.0,3.50001,0.5580440000000003,
180.95573684677208,0.12,0.005689102564099235,1.0,4.2,0.050203999999999915,
271.43360527015807,0.18,0.007036839539778047,1.0,4.2,0.6156560000000009,
316.6725394818512,0.21,0.006092069178378172,1.0,3.1,0.7953519999999992,
226.1946710584651,0.15,0.009661236003245402,1.0,4.9,0.28927599999999937,
2.396764726447312,0.24,0.0014204835081201206,1.0,1.1,-0.29468400000000017,
1.198382363223656,0.12,0.005723105197186148,1.0,1.1,-0.09018479999999995,
1.797573544835484,0.18,0.0037628744060030058,1.0,1.1,-0.18672799999999978,
